page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR,COUNT OF YEAR,YEARS ACTIVE,APPEARANCES PER YEAR,UNIVERSE
13108,John Zatara,\/wiki\/John_Zatara_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,256,"1938, June",1938,10,76,3.368421053,DC
1800,Lee Travis,\/wiki\/Lee_Travis_(New_Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,,Deceased Characters,139,"1938, October",1938,10,76,1.828947368,DC
11879,Wing How,\/wiki\/Wing_How_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,103,"1938, October",1938,10,76,1.355263158,DC
30297,Robert Daley,\/wiki\/Robert_Daley_(New_Earth),Secret Identity,Good Characters,,,Male Characters,,Living Characters,39,"1938, July",1938,10,76,0.513157895,DC
30296,Tong,\/wiki\/Tong_(New_Earth),Public Identity,Good Characters,Brown Eyes,,Male Characters,,Living Characters,27,"1938, June",1938,10,76,0.355263158,DC
30295,Marco Polo,\/wiki\/Marco_Polo_(New_Earth),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,26,"1938, June",1938,10,76,0.342105263,DC
1422,Batman (Bruce Wayne),\/wiki\/Batman_(Bruce_Wayne),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,3093,"1939, May",1939,18,75,41.24,DC
1836,Human Torch (Android),\/Human_Torch_(Android)_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,548,Oct-39,1939,58,75,7.306666667,Marvel
1981,Wesley Dodds,\/wiki\/Wesley_Dodds_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,391,"1939, April",1939,18,75,5.213333333,DC
1071,Thomas Halloway,\/Thomas_Halloway_(Earth-616),Public Identity,Good Characters,Brown Eyes,White Hair,Male Characters,,Living Characters,135,Oct-39,1939,58,75,1.8,Marvel
1463,Dorma,\/Dorma_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,Auburn Hair,Female Characters,,Deceased Characters,113,Oct-39,1939,58,75,1.506666667,Marvel
7518,Abigail Hunkel,\/wiki\/Abigail_Hunkel_(New_Earth),Secret Identity,Good Characters,Black Eyes,Brown Hair,Female Characters,,Living Characters,79,"1939, June",1939,18,75,1.053333333,DC
6968,Hop Harrigan,\/wiki\/Hop_Harrigan_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,68,"1939, April",1939,18,75,0.906666667,DC
52340,Scribbly Jibbet,\/wiki\/Scribbly_Jibbet_(New_Earth),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,64,"1939, April",1939,18,75,0.853333333,DC
18907,Martha Roberts,\/wiki\/Martha_Roberts_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Deceased Characters,60,"1939, December",1939,18,75,0.8,DC
139909,Mortimer Jibbet,\/wiki\/Mortimer_Jibbet_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,49,"1939, April",1939,18,75,0.653333333,DC
139914,Amelia Hunkel,\/wiki\/Amelia_Hunkel_(New_Earth),Secret Identity,Good Characters,,,Female Characters,,Living Characters,47,"1939, June",1939,18,75,0.626666667,DC
11798,Phineas Horton,\/Phineas_Horton_(Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,41,Oct-39,1939,58,75,0.546666667,Marvel
237322,David Rand,\/David_Rand_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,31,Oct-39,1939,58,75,0.413333333,Marvel
200072,Hugh Hazzard,\/wiki\/Hugh_Hazzard_(New_Earth),Secret Identity,Good Characters,,,Male Characters,,Living Characters,28,"1939, August",1939,18,75,0.373333333,DC
42002,Karl Hellfern,\/wiki\/Karl_Hellfern_(New_Earth),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,23,"1939, July",1939,18,75,0.306666667,DC
17886,Julie Madison,\/wiki\/Julie_Madison_(New_Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,18,"1939, September",1939,18,75,0.24,DC
282586,Zar,\/Zar_(Earth-616),Public Identity,Good Characters,Black Eyes,Brown Hair,Male Characters,,Living Characters,18,Oct-39,1939,58,75,0.24,Marvel
237826,Jim Gardley,\/Jim_Gardley_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,15,Oct-39,1939,58,75,0.2,Marvel
61926,Niccolai Tepes,\/wiki\/Niccolai_Tepes_(New_Earth),Secret Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,,Deceased Characters,14,"1939, September",1939,18,75,0.186666667,DC
272889,Dala,\/wiki\/Dala_(New_Earth),Secret Identity,Bad Characters,Red Eyes,Black Hair,Female Characters,,Living Characters,13,"1939, October",1939,18,75,0.173333333,DC
331152,Trajah,\/Trajah_(Earth-616),Public Identity,Good Characters,,,Male Characters,,Living Characters,13,Oct-39,1939,58,75,0.173333333,Marvel
181737,Darrell Dane,\/wiki\/Darrell_Dane_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,12,"1939, December",1939,18,75,0.16,DC
331143,Lightning (Masked Raider),\/Lightning_(Masked_Raider)_(Earth-616),Public Identity,Good Characters,,White Hair,Male Characters,,Living Characters,12,Oct-39,1939,58,75,0.16,Marvel
182271,Chaka,\/Chaka_(Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,6,Oct-39,1939,58,75,0.08,Marvel
183677,Anthony Sardo,\/Anthony_Sardo_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Deceased Characters,5,Oct-39,1939,58,75,0.066666667,Marvel
331149,Paul de Kraft,\/Paul_de_Kraft_(Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,4,Oct-39,1939,58,75,0.053333333,Marvel
333140,Nono,\/Nono_(Earth-616),Public Identity,Good Characters,,,Male Characters,,Living Characters,4,Oct-39,1939,58,75,0.053333333,Marvel
438715,Pete Johnson,\/Pete_Johnson_(Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,4,Dec-39,1939,58,75,0.053333333,Marvel
282489,Ken Masters,\/Ken_Masters_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,3,Oct-39,1939,58,75,0.04,Marvel
639362,Drayson,\/Drayson_(Earth-616),Public Identity,Neutral Characters,,,Female Characters,,Living Characters,2,Dec-39,1939,58,75,0.026666667,Marvel
743298,Josef,\/Josef_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,2,Dec-39,1939,58,75,0.026666667,Marvel
333142,John Rand,\/John_Rand_(Earth-616),Public Identity,Good Characters,,Blond Hair,Male Characters,,Deceased Characters,2,Oct-39,1939,58,75,0.026666667,Marvel
664797,Fiorello La Guardia,\/Fiorello_La_Guardia_(Earth-616),Public Identity,Neutral Characters,,Black Hair,Male Characters,,Living Characters,2,Oct-39,1939,58,75,0.026666667,Marvel
488654,Harris,\/Harris_(Earth-616),Public Identity,Neutral Characters,,,Male Characters,,Living Characters,2,Oct-39,1939,58,75,0.026666667,Marvel
638958,Lola,\/Lola_(Earth-616),Public Identity,Bad Characters,,Blond Hair,Female Characters,,Living Characters,1,Dec-39,1939,58,75,0.013333333,Marvel
437037,Constance Rand,\/Constance_Rand_(Earth-616),Public Identity,Good Characters,,Blond Hair,Female Characters,,Deceased Characters,1,Oct-39,1939,58,75,0.013333333,Marvel
352761,Jane Framan,\/Jane_Framan_(Earth-616),Public Identity,Good Characters,,Brown Hair,Female Characters,,Living Characters,1,Dec-39,1939,58,75,0.013333333,Marvel
641961,Ganya,\/Ganya_(Earth-616),Public Identity,Neutral Characters,,,Female Characters,,Living Characters,1,Dec-39,1939,58,75,0.013333333,Marvel
461533,Sulani,\/Sulani_(Earth-616),Public Identity,Neutral Characters,,,Female Characters,,Living Characters,1,Dec-39,1939,58,75,0.013333333,Marvel
461528,Bardak,\/Bardak_(Earth-616),Public Identity,Bad Characters,,Brown Hair,Male Characters,,Deceased Characters,1,Dec-39,1939,58,75,0.013333333,Marvel
657451,Bends (Masked Raider),\/Bends_(Masked_Raider)_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Deceased Characters,1,Oct-39,1939,58,75,0.013333333,Marvel
437129,Blackie Ross,\/Blackie_Ross_(Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1,Dec-39,1939,58,75,0.013333333,Marvel
437029,Cal Brunder,\/Cal_Brunder_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,1,Oct-39,1939,58,75,0.013333333,Marvel
642226,Dutch Hansen,\/Dutch_Hansen_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Deceased Characters,1,Oct-39,1939,58,75,0.013333333,Marvel
642805,Gus Ronson,\/Gus_Ronson_(Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,1,Oct-39,1939,58,75,0.013333333,Marvel
437168,Hook Tebbs,\/Hook_Tebbs_(Earth-616),Public Identity,Bad Characters,,Grey Hair,Male Characters,,Deceased Characters,1,Dec-39,1939,58,75,0.013333333,Marvel
642914,John Crafton,\/John_Crafton_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Deceased Characters,1,Oct-39,1939,58,75,0.013333333,Marvel
642807,John Dillon,\/John_Dillon_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Deceased Characters,1,Oct-39,1939,58,75,0.013333333,Marvel
642968,Mike (John Crafton Gang),\/Mike_(John_Crafton_Gang)_(Earth-616),Public Identity,Bad Characters,,Brown Hair,Male Characters,,Deceased Characters,1,Oct-39,1939,58,75,0.013333333,Marvel
642582,Mike Malone,\/Mike_Malone_(Earth-616),Public Identity,Bad Characters,,Bald,Male Characters,,Deceased Characters,1,Oct-39,1939,58,75,0.013333333,Marvel
642949,Mubangi,\/Mubangi_(Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,1,Oct-39,1939,58,75,0.013333333,Marvel
642922,Rowdy,\/Rowdy_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Deceased Characters,1,Oct-39,1939,58,75,0.013333333,Marvel
657434,Slick (Masked Raider),\/Slick_(Masked_Raider)_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,1,Oct-39,1939,58,75,0.013333333,Marvel
642961,Slug (John Crafton Gang),\/Slug_(John_Crafton_Gang)_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,1,Oct-39,1939,58,75,0.013333333,Marvel
642808,Steve Enkel,\/Steve_Enkel_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Deceased Characters,1,Oct-39,1939,58,75,0.013333333,Marvel
642581,Trigger Bolo,\/Trigger_Bolo_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Deceased Characters,1,Oct-39,1939,58,75,0.013333333,Marvel
642926,Dr. Lang (The Big Boss),\/Dr._Lang_(The_Big_Boss)_(Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,1,Oct-39,1939,58,75,0.013333333,Marvel
437139,Mister Lelong,\/Mister_Lelong_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1,Dec-39,1939,58,75,0.013333333,Marvel
642969,John Roberts,\/John_Roberts_(Earth-616),Public Identity,Good Characters,,Grey Hair,Male Characters,,Living Characters,1,Oct-39,1939,58,75,0.013333333,Marvel
744948,Officer Foley,\/Officer_Foley_(Earth-616),Public Identity,Good Characters,,,Male Characters,,Deceased Characters,1,Dec-39,1939,58,75,0.013333333,Marvel
745537,Prairie City Sheriff (Masked Raider),\/Prairie_City_Sheriff_(Masked_Raider)_(Earth-616),Public Identity,Good Characters,,Grey Hair,Male Characters,,Living Characters,1,Dec-39,1939,58,75,0.013333333,Marvel
657447,Steve (Masked Raider),\/Steve_(Masked_Raider)_(Earth-616),Public Identity,Good Characters,,,Male Characters,,Living Characters,1,Oct-39,1939,58,75,0.013333333,Marvel
642960,Tim Roberts,\/Tim_Roberts_(Earth-616),Public Identity,Good Characters,,,Male Characters,,Living Characters,1,Oct-39,1939,58,75,0.013333333,Marvel
642971,Bleck,\/Bleck_(Earth-616),Public Identity,Neutral Characters,,,Male Characters,,Deceased Characters,1,Oct-39,1939,58,75,0.013333333,Marvel
642970,Lordin,\/Lordin_(Earth-616),Public Identity,Neutral Characters,,,Male Characters,,Living Characters,1,Oct-39,1939,58,75,0.013333333,Marvel
639142,Pinkerton,\/Pinkerton_(Earth-616),Public Identity,Neutral Characters,,Bald,Male Characters,,Living Characters,1,Dec-39,1939,58,75,0.013333333,Marvel
744957,Tom (EMT),\/Tom_(EMT)_(Earth-616),Public Identity,Neutral Characters,,,Male Characters,,Living Characters,1,Dec-39,1939,58,75,0.013333333,Marvel
641962,Tupat,\/Tupat_(Earth-616),Public Identity,Neutral Characters,,,Male Characters,,Living Characters,1,Dec-39,1939,58,75,0.013333333,Marvel
461531,Zoro,\/Zoro_(Earth-616),Public Identity,Neutral Characters,,,Male Characters,,Living Characters,1,Dec-39,1939,58,75,0.013333333,Marvel
1576,Richard Grayson,\/wiki\/Richard_Grayson_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,1237,"1940, April",1940,64,74,16.71621622,DC
1459,Alan Scott,\/wiki\/Alan_Scott_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,969,"1940, July",1940,64,74,13.09459459,DC
1386,Jason Garrick,\/wiki\/Jason_Garrick_(New_Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,951,"1940, January",1940,64,74,12.85135135,DC
1849,Carter Hall,\/wiki\/Carter_Hall_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,803,"1940, January",1940,64,74,10.85135135,DC
1455,Joker,\/wiki\/Joker_(New_Earth),Secret Identity,Bad Characters,Green Eyes,Green Hair,Male Characters,,Living Characters,517,"1940, June",1940,64,74,6.986486486,DC
1680,Kent Nelson,\/wiki\/Kent_Nelson_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,422,"1940, May",1940,64,74,5.702702703,DC
2487,Thomas Raymond,\/Thomas_Raymond_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,373,Sep-40,1940,193,74,5.040540541,Marvel
1995,Albert Pratt,\/wiki\/Albert_Pratt_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,370,"1940, October",1940,64,74,5,DC
1528,William Batson,\/wiki\/William_Batson_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,321,"1940, February",1940,64,74,4.337837838,DC
1681,Rex Tyler,\/wiki\/Rex_Tyler_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,288,"1940, March",1940,64,74,3.891891892,DC
1885,Jonathan L. Thunder,\/wiki\/Jonathan_L._Thunder_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,282,"1940, January",1940,64,74,3.810810811,DC
174276,Shiera Sanders,\/wiki\/Shiera_Sanders_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Red Hair,Female Characters,,Living Characters,219,"1940, January",1940,64,74,2.959459459,DC
1868,James Corrigan,\/wiki\/James_Corrigan_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,214,"1940, February",1940,64,74,2.891891892,DC
13358,Yz,\/wiki\/Yz_(New_Earth),Secret Identity,Good Characters,Red Eyes,,Male Characters,,Living Characters,207,"1940, January",1940,64,74,2.797297297,DC
7288,William Glenmorgan,\/wiki\/William_Glenmorgan_(New_Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,199,"1940, June",1940,64,74,2.689189189,DC
1434,Max Mercury,\/wiki\/Max_Mercury_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,,Living Characters,183,"1940, November",1940,64,74,2.472972973,DC
101355,Adolf Hitler,\/Adolf_Hitler_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,145,Sep-40,1940,193,74,1.959459459,Marvel
10309,Jeffrey Mace,\/Jeffrey_Mace_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,139,Dec-40,1940,193,74,1.878378378,Marvel
2088,Makkari,\/Makkari_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,,Living Characters,131,Aug-40,1940,193,74,1.77027027,Marvel
16003,Betty Dean,\/Betty_Dean_(Earth-616),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Deceased Characters,127,Jan-40,1940,193,74,1.716216216,Marvel
1970,Inza Cramer,\/wiki\/Inza_Cramer_(New_Earth),Secret Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,,Deceased Characters,124,"1940, May",1940,64,74,1.675675676,DC
8107,Dian Belmont,\/wiki\/Dian_Belmont_(New_Earth),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Female Characters,,Deceased Characters,113,"1940, February",1940,64,74,1.527027027,DC
72375,Azura,\/Azura_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,95,Aug-40,1940,193,74,1.283783784,Marvel
5557,Aarkus,\/Aarkus_(Earth-616),Secret Identity,Good Characters,White Eyes,No Hair,Male Characters,,Living Characters,72,Nov-40,1940,193,74,0.972972973,Marvel
11843,Langford Terrill,\/wiki\/Langford_Terrill_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,59,"1940, September",1940,64,74,0.797297297,DC
1944,Kro,\/Kro_(Earth-616),Secret Identity,Bad Characters,Red Eyes,Bald,Male Characters,,Living Characters,59,Aug-40,1940,193,74,0.797297297,Marvel
1552,Zuras,\/Zuras_(Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,52,Aug-40,1940,193,74,0.702702703,Marvel
282579,Terry Vance,\/Terry_Vance_(Earth-616),Public Identity,Good Characters,Blue Eyes,Auburn Hair,Male Characters,,Living Characters,50,Aug-40,1940,193,74,0.675675676,Marvel
282450,Raymond Dawson,\/Raymond_Dawson_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,49,Sep-40,1940,193,74,0.662162162,Marvel
1963,Hugo Strange,\/wiki\/Hugo_Strange_(New_Earth),Public Identity,Bad Characters,Grey Eyes,,Male Characters,,Living Characters,48,"1940, February",1940,64,74,0.648648649,DC
441707,Doctor Watson,\/Doctor_Watson_(Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,48,Aug-40,1940,193,74,0.648648649,Marvel
14144,Irene Miller,\/wiki\/Irene_Miller_(New_Earth),Public Identity,Good Characters,Grey Eyes,Black Hair,Female Characters,,Living Characters,47,"1940, September",1940,64,74,0.635135135,DC
14509,Poseidon,\/wiki\/Poseidon_(New_Earth),Public Identity,Neutral Characters,White Eyes,White Hair,Male Characters,,Living Characters,46,"1940, September",1940,64,74,0.621621622,DC
11878,Rodney Gaynor,\/wiki\/Rodney_Gaynor_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,45,"1940, January",1940,64,74,0.608108108,DC
11952,Jon Valor,\/wiki\/Jon_Valor_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,44,"1940, April",1940,64,74,0.594594595,DC
11861,Jock Kellogg,\/wiki\/Jock_Kellogg_(New_Earth),Secret Identity,Good Characters,,Black Hair,Male Characters,,Deceased Characters,43,"1940, July",1940,64,74,0.581081081,DC
2341,Red Raven (Liberty Legion),\/Red_Raven_(Liberty_Legion)_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,43,Aug-40,1940,193,74,0.581081081,Marvel
8132,Lawrence Belmont,\/wiki\/Lawrence_Belmont_(New_Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,37,"1940, February",1940,64,74,0.5,DC
10488,Thomas Ludlow Hallaway,\/wiki\/Thomas_Ludlow_Hallaway_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,36,"1940, May",1940,64,74,0.486486486,DC
173440,Mary James,\/wiki\/Mary_James_(New_Earth),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,,Deceased Characters,35,"1940, October",1940,64,74,0.472972973,DC
145132,King Standish,\/wiki\/King_Standish_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,34,"1940, March",1940,64,74,0.459459459,DC
237825,Mary Morgan,\/Mary_Morgan_(Earth-616),Secret Identity,Good Characters,,Brown Hair,Female Characters,,Living Characters,34,Dec-40,1940,193,74,0.459459459,Marvel
96496,Santa Claus,\/wiki\/Santa_Claus,Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,32,1940,1940,64,74,0.432432432,DC
17256,Amentep,\/wiki\/Amentep_(New_Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,29,"1940, February",1940,64,74,0.391891892,DC
161364,Thorndyke Thompkins,\/wiki\/Thorndyke_Thompkins_(New_Earth),Public Identity,Good Characters,,,Male Characters,,Living Characters,28,"1940, November",1940,64,74,0.378378378,DC
120285,Wotan,\/wiki\/Wotan_(New_Earth),Secret Identity,Bad Characters,Black Eyes,Green Hair,Male Characters,,Living Characters,26,"1940, May",1940,64,74,0.351351351,DC
7341,Claire Voyant,\/Claire_Voyant_(Earth-616),Secret Identity,Neutral Characters,Black Eyes,Blond Hair,Female Characters,,Living Characters,25,Aug-40,1940,193,74,0.337837838,Marvel
19056,Anthony Zucco,\/wiki\/Anthony_Zucco_(New_Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,24,"1940, April",1940,64,74,0.324324324,DC
200057,Richard Stanton,\/wiki\/Richard_Stanton_(New_Earth),Secret Identity,Good Characters,Brown Eyes,,Male Characters,,Deceased Characters,23,"1940, May",1940,64,74,0.310810811,DC
452625,Jack Casey,\/Jack_Casey_(Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,Homosexual Characters,Deceased Characters,23,Dec-40,1940,193,74,0.310810811,Marvel
95053,Khufu,\/wiki\/Khufu_(New_Earth),Public Identity,Good Characters,,Blond Hair,Male Characters,,Living Characters,21,"1940, January",1940,64,74,0.283783784,DC
306563,Hermann Goering,\/Hermann_Goering_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Deceased Characters,21,Sep-40,1940,193,74,0.283783784,Marvel
87879,Richard Raleigh,\/wiki\/Richard_Raleigh_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,20,"1940, July",1940,64,74,0.27027027,DC
282590,Philo Zogolowski,\/Philo_Zogolowski_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,20,Feb-40,1940,193,74,0.27027027,Marvel
76259,Jack Castle,\/Jack_Castle_(Earth-616),Secret Identity,Good Characters,Hazel Eyes,Blond Hair,Male Characters,,Deceased Characters,20,Jan-40,1940,193,74,0.27027027,Marvel
76260,Dennis Burton,\/Dennis_Burton_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,19,Feb-40,1940,193,74,0.256756757,Marvel
76262,Richard Jones (Phantom Reporter),\/Richard_Jones_(Phantom_Reporter)_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,19,Apr-40,1940,193,74,0.256756757,Marvel
18310,Dynamic Man,\/Dynamic_Man_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,18,Mar-40,1940,193,74,0.243243243,Marvel
282561,John Steele (American Soldier),\/John_Steele_(American_Soldier)_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,18,Jan-40,1940,193,74,0.243243243,Marvel
166039,Chay-Ara,\/wiki\/Chay-Ara_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,17,"1940, January",1940,64,74,0.22972973,DC
76266,Earl Everett,\/Earl_Everett_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,17,Apr-40,1940,193,74,0.22972973,Marvel
2391,Valkin,\/Valkin_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,17,Aug-40,1940,193,74,0.22972973,Marvel
11842,"Richard Grey, Jr.","\/wiki\/Richard_Grey,_Jr._(New_Earth)",Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,16,"1940, May",1940,64,74,0.216216216,DC
76263,Victor Jay,\/Victor_Jay_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,15,Feb-40,1940,193,74,0.202702703,Marvel
